,tweet
18,seumur umur dr jaman uang perak sampai munculnya uang ribu kayanya enggak ada penerbitan terbatas sampe pake ktp buat ngambil uangnya k bank atau saya yang lupa atau gmn rb yang baru mncul ini ribet bener
25,klean udh dpt uang ribu itu blom
29,dicetak juta lembaruang baru rupiah ternyata hanya untuk koleksi bukan untuk transaksi modal kertascetak trus di jual ke rakyat seharga rupiah ribulembarsudah berapa uang rakyat yang di ambil ma rezim ini ini sama halnya 
30,uang pecahan rupiah ribu diproduksi terbatas untuk memperingati hari kemerdekaan indonesia uang ini langsung ramai dicari kenapa ya ini penjelasan psikolog via detikhealth 
32,uang ribu yang diburu kolektor hingga hoaks baju china 
43,tips simpan uang baru rupiah ribu di rumah agar rapi dan awet 
44,sesungguhnya warga itu kagetan kaget corona kaget psbb kaget belajar daring kaget sepedaan eh sekarang kaget uang rebu
48,sosok anak kecil yang ada dipecahan uang rupiah ribu yang mengenakan pakaian adat menjadi kontrovesi 
49,warga antusias tukar uang pecahan baru rupiah ribu untuk koleksi 
51,kenapa ya susah amat ya daftar untuk dapat uang 
56,sekalinya ada penukaran di sulawesi barat indonesia luas sekali ya saya di banten dan yang tersedia di sulawesi barat btw kalo dibelanjain di warung ribet nih haha pictwittercomfeuzvk
57,temen saya berpendapat bahwa uang ribu itu bisa kita buat langka dengan cara memusnahkan uang ribu lainnya seperti kartu blue eyes di yugioh dia lupa kalau ada undang tentang mata uang simbol negara itu ah
65,warga gorontalo antusias ingin memiliki uang peringatan kemerdekaan upk rupiah ribu 
67,ha ha ha sayang saya enggak pingin beli uang ribu masih ada yang ribu toh lebih banyak manfaat rebu dari rebu cuma kesing doang enggak ada yang bisa dibanggakan tahun kemerdekaan rezim sekarang bisanya cuma segitu
69,cerita pemotretan rahasia anak gorontalo untuk uang rupiah ribu 
70,hujan uang pecahan ribu
73,heboh shopee depak pedagang uang kertas rupiah ribu di lapaknya kenapa bank indonesia 
76,udah ada yang punya uang pecahan baru ribu minta dong
84,sosok bocah yang terpampang di uang rupiah ribu pakai baju adat tidung bukan pakaian china 
93,bi oh bi kenapa tidak mencetak uang sejumlah hutang indonesia ke negara lain kan habis itu hutangnya lunas receh banget pengetahuanku tentang perekonomian negara wkwkwkwk
96,dukun ini dapat amplop isi ribu dari ojol tayang di afandi channel pukul malam ini
100,ada apa dengan uang baru ribu dan bagaimana mendapatkannya simak pukul wib di pictwittercomqqqjfbmrq
104,top story uang baru ribu bisa dapat jajan makanan apa saja see more 
109,segitu rasisnya sampe anak kecilnya juga dikatain 
111,papaku yang beneran kolektor duit enggak dapet uang ribu uweeeeeee
118,pernah mbatin apa mungkin ada uang ribu sekarang ada kemarin baru aja mbatin uang ribu sekarang ada koq saya mbatin jadi milikmu enggak ter wujud yak 
120,slot penukaran uang edisi khusus rupiah ribu sudah penuh hingga september pictwittercomrtetqyaxq
123,bi beri wali kota risma uang baru pecahan rupiah ribu 
124,bocah berbaju dayak di uang rupiah ribu ayahnya pegawai bank indonesia 
128,pengen uang ribu tp males ngantri
134,tak hanya rupiah pecahan ribu berikut uang khusus yang pernah dicetak bi 
135,mau nyari uang barudki kagak bisa dapat slotnya penuh semua sampai september nunggu aja dah tahun lagikali aja ada edisi ribu pesen dari sekarang bisa ngk bankindonesia 
141,berikut adalah pengalaman serta review kami perihal penampakan uang peringatan kemerdekaan ribu rupiah yang dirilis bank indonesia 
149,pemesanan uang khusus hut ri rupiah ribu di sumsel capai lembar 
157,rai mantra apresiasi peluncuran uang baru nominal rupiah ribu 
162,jubir presiden ungkap identitas bocah sipit di uang baru rupiah ribu follow demokrasicoid 
163,aditnya perpatih anak yang kenakan pakaian adat makuta dalam pecahan uang 
166,barusan liat video infografis judulnya keunikan uang ribu rupiah nomor satu bilang begini bisa buat transaksi ya namanya duit kan emang buat transaksi uniknya dimana bambang
168,ada cerita menarik tentang pemotretan anak berbaju adat untuk tampil di uang baru rupiah ribu ternyata pemotretan itu berlangsung secara rahasia lho begini ceritanya 
170,wali kota risma terima uang baru pecahan rupiah ribu dari bank indonesia 
173,nyuruh nukerin uang ribu pictwittercomeavlfgdp
174,supah ada uang pecahan ribu edisi hut ya allah baru tau
175,sepanjang sejarah republik ini bank indonesia telah mengeluarkan uang rupiah khusus urk sebanyak kali untuk beberapa peristiwa sejarah di negeri ini tiga di antaranya untuk memperingati hari kemerdekaan ri rupiah ribu ini uang khusus yang keempat 
177,nukar uang baru ribu spesial hari kemerdekaan indonesia ke di bi kaltim aja full sampe tanggal september 
178,kalo pake argumen mereka ya semua nominal mata uang sudah pasti menghasilkan keuntungan bagi bi enggak cuma nominal ribu doang pikir mereka bi mencetak uang itu enggak ada resiko inflasi kali yak dari setiap uang baru yang dicetak pasti ada uang lama bulukan yang dimusnahkan
179,uang pecahan baru lebih bagus pecahan ribu dibanding yang ribu kayaknya pictwittercomxxrypmqqt
184,viral cerita warganet jadi orang kelima yang dapatkan uang baru rupiah ribu di bali 
188,senilai ribu hehehe mau uang an lembar juga boleh kayanya
192,bi buka suara terkait tudingan yang menyebut pihaknya bisa untung hingga rupiah triliun jika juta lembar uang khusus kemerdekaan rupiah ribu laku semua via detikfinance 
194,pengen dapet steal deal uang ribu
196,hoax ada budaya syahri di mata uang pecahan ribu rupiah via detaxid
199,deretan foto asli anakanak yang wajahnya ada di uang rupiah ribu coba simak mirip aslinya tidak 
203,potret anak kecil di uang pecahan ribu yang baru bikin seru perbincangan barulalu hubungannya dgn perbincangan hangat keagamaanada tentumari kita liat dr daerahnyamereka bangga dgn laki kecil kelas sd kebanggaan kaltara spt botol kecil berisi surat yang dihanyutkan ke sungai
208,saya jahat nggak sih sekarang hp adikku rusak parah dan udah di konter bulan belum jadi mau beli cuma ada uang k di sisi lain saya malah mau beli hp baru padahal hp saya yang ini masih layak banget di pakai
210,kle bak kasi saran cara nagihin uang yang dipinjem ma tmn guyss awalnya enggak enak nagih karna dia emang ngaku bnr enggak punya uang eh makin lama storynya jek hp baru sm ke salon gen gaene
211,hoaks uang baru pecahan rp ribu tidak dapat dibelanjakan 
212,ini sosok anak gorontalo dalam uang baru rupiah pictwittercomnqmykwm
218,terima dan bersyukur dulu nder bsk kalo km punya uang lebih sabi lah tuker tambah atau beli baru ortu mu syg km nder rela pontang panting beliin km itu hadiah bwt km spek lepi saya sm km tapi belinya patungan bertiga sm ortu udh bersyukur bngt 
219,accurated contohnya cetakan uang baru rb
220,anda bukan orang ekonomi lihat proses coba bagaimana bi mendistribusikan uang cetakan baru apa langsung dikasih kan ke orang lain apa dipakai untuk membelikan sesuatu yang berharga tentu saja hutang tidak harus bentuk sun ada juga hutang di warung yang cukup tulis di kertas
221,wealah ahok bini petama ja di entotin orang bertahun ya biar dpt komut pertamina eh bini kedua bunting dl baru pesta dari uang sumberwaras itu yang perlu dicagar keknya
226,gara posting uang baru ada simbol salip nya kena makian pictwittercomphpywjuz
229,ya allah jam segini uang baru cair alhamdulillahhhhhh
230,ini pas baru lulus sma kaka bilang de kamu kuliahnya taun depan aja ya kasian mama gaada uang yaudah aing nyantai enggak ngikut ujian apa apa trus mama ayah bingung kok gaikut lgsg kena marah disuruh daftar h closereg sbm dan cuma velajar minggu gimana mo lulus gan 
231,titipan saya mau jual ini k kondisi masih oke baru dipake kali dulu beli sekitar k uang hasil penjualan nya mau saya kasih ke tetangga saya buat anak nya beli hp minat dm aja ya pictwittercommortmjy
233,pake uang baru
237,kak jadi pet cargonya beli pake uang donasi tapi kok udh ada di tiktok jam yang lalu sementara foto dan info di twitter baru jam apa gitu kumaha ini teh pictwittercomtbzkihlhs
239,tentuuuu kakak saya abis saya kasih tau juga jadi gt jadi pas udah mau jalan baru kasih uang nya wkwk
240,mohon izin pencerahan bang baru kerasa soalnya uang jajan mulai berkurang
246,pars men jadi ceritanya nyokap ultah ni hari tapi gue baru ngucapin sampe doi balik kerja trs bokap enggak ngucapin juga karna bokap emang lupa ultah sendiri aja lupa jing im sori mam plis uang jajan jangan seret
247,hy guys mlm ini hp saya redmi a yang belinya pake uang tabungan saya separo dan ditambahin pake uang bapaku separo akuu sama hp saya ini udah mau tahun bulan november nanti dan baru kali ini saya pake hp awet sampe bertaun pictwittercombkjmsixcf
251,semuanya berubah waktu saya masuk sma ya saya masuk sma memang dapat kemudahan banget karena lulusan dari smp yang sama yayasannya bahkan mungkin kalian baru tahu atau ngalamin sendiri saya sampai diberikan potongan uang masuk baca beasiswa
252,selamat malam tahun baru islam semoga di tahun yang baru ini saya punya banyak uang amiin heeeeee 
254,ada yang dah punya uang rebu yang baru tu belum si saya pgn bgt
256,pen ikut nukerin uang kertas k yang baru tapi belum punya ktp
257,iya kalo bisa uang baru k itu yak wkwk
259,saya disaat bersiap kembali liat status orang pada pamer uang rb baru dan rencana liburan buat besok pictwittercomobwrjvuqus
261,oalaah gatau deh psm apa baru denger searching aja hyung kalo berkaitan sm uang hrs ati
266,uang baru edisi hut ke ri dijual online pihak shopee buka suara 
270,berarti kita cetak uang baru
275,asli punya saya waktu itu belanja ke pim bawa uang jt sampe abis mamen deket banget malah sama dia asli deh kemana mana berdua shopping pun sekarang udah kayak orang enggak kenal dia punya temen baru saya mau gimana lagi guys emmm mungkin sisa yang kemarin paling jadi kenangan ajaa
278,please nder bersyukur dulu itu udah enak loh enggak minta langsung dibeliin kalau saya minta dulu terus nunggu dulu sampai uang ortu cukup baru dibeliin kalau enggak gitu harus capai target apa dulu baru dibeliin ortu jadi ada challengenya gitu vuat dapatinnya
279,beli baru aja nder pake uang kamu sendiri
281,masih banyak anak yang enggak bisa beli laptopenggak mampu dulu saya beli laptop dr hasil uang beasiswa ppa baru ditambahin sama ortu itupun semester ke baru punya sebelumnya pakai pny kakak diapun beli sendiri juga dulu jadi perhatian ortumu yang begitu luar biasa syukurilah
282,wow gila ini adek kelas gue yang baru masuk gede gedean uang pangkal yak wkwkwkkww jaman gue masuk masih ukt sih gapake uang pangkal jd undangan mandiri sbm sama semua bayarnya tergantung pendapatan ortu
283,besok tahun baru islam tapi saya enggak libur ya gapapa yang penting saya dpat uang jajan
286,bukan anak ekonomi tapi uang baru rb itu juga bisa jadi alat pembayaran yang sah ko cuman karena di produksinya sedikit memperingati hut ri dan desainnya yang bagus jadi kaya sayang aja kalo dibelanjain akhirnya jadi koleksipajangan
289,nungguu punya uang banyak baru nato lagi mahal ya sheyeng
290,qna mau nanya dong jadi saya pengen jual laptop di tokopedia toko saya tuh toko baru lalu buyer mau beli pake metode cicilan kartu kredit nahapakah setelah transaksi selesai uang yang saya terima langsung atau cicilan jugaa
291,lucu juga ya uang rb yang baru dijual jutaan
296,padahal secara biaya jauh lebih mahal kalo saya lewat mandiri uang pangkal bisa kali lipat ukt bisa kali lipat dari gundar alhamdulillah ibu sangat support dan enggak masalah kalo harus kehilangan uang pangkal gundar yang nyap papah paling saya gagal dapet hp baru
298,pas kelas sd saya udh min tapi baru pas kls smp ini baru pake kacamata ciri min tuh mata rabun pas ngeliat jauh kalo mata dipaksain ngeliat jauh itu kepala bakalan pusing tapi kalo ngeliat uang aja mata saya langsung jernih ngeliatnya heran
299,mengawali sesuatu yang baru itu emang sulit nder tapi percaya deh setelah kamu ambil langkah pertama semua bakal kerasa lebih mudah semangat ya sender kerja yang kecil duluu ya jadi dropshipper tuh lumayn buat tambah uang jajan
303,selanjutnyaurus visa tiket dll berangkat foto upload sosmed diiringi kata mutiara sok bijak maklum udah gagal berkali baru sukses sekali seneng banget kwkwkw saya dapatnya fully funded dapat living cost spp asuransi uang buku uang penelitian transport dll
307,dapet komisi dr jual warisan kasihlah uangnya sm adik ipar dapet uang tpp kasihlah jt sm mereka alasannya kasian baru bikin rumah biar bsa beli isi rumah
315,ada orang dapet uang ribu udah seneng ada orang dapet nilai udah seneng ada orang bisa makan di restoran udah seneng jangan merusak kesenangan orang lain pake baru gitu aja seneng norak derajat kesenangan tiap orang bedabeda just let others be happy
318,apa komentar sahabat pilar tentang uang baru upk tahun ri pecahan rupiah mau punya enggak kalo punya buat apa ngobrol di kita talk tapi selow bareng paman dika
321,lagi ada uang ingat ma kawan lupa sama diri sendiri uda enggak ada uang kawan mala lupa baru ingat diri sendiri
322,pas uang baru rb keluar percakapanku sama suami adalah nanti apa ya yang bakal mereka temukan dari uang itu saya cuma liat kesempurnaan gambar dan karya setelah uangnha terbit di duga budaya cina kaaann pasti aja ada salahnya padahal ngga salah senyum sedikit
324,indonesia bikin dan cetak uang baru bukan baliho kalo semia pakaian adat dimuat di lembar uang ya enggak cukup kalo pun cukup ya enggak keliatan karena kecil sekali apa bapak pernah belajar desain grafis walau secara otodidak pernah kalo enggak pernah jangan asal bunyi malu sama bio 
332,nder lebih baik kamu lebih bersyukur sama pemberian ortu mu enggak semua orang semudah itu bisa beli laptop dan ortu ngedukung km kuliah temen saya malah udh semester skrg baru bisa beli laptop dan itupun dia pake uang hasil tabunganny sendiri
340,baru nyadar yang pake beskap di uang rb ponakan ndiri
342,gue baru punya temen yang ngemasalahin soal skincare mulu orang mau skincarean juga beli pake uang sendiri anjir lu gamake ya gosah bahas mulu make tinggal make engga gosah bcd
344,tol nya di tutup baru abis uang cendana
347,baru ngasih tau kabar lulus ke ortu langsung diceramahin cari uang dulu baru nikah iye taauuu
350,golongan orang muna ya sperti itu di cari kesalahan di uang baru tapi pas nerima uangnya langsung di masukin kantong kan muna
353,saya dulu mil kalo uang saya udah abis baru kamu en
354,jakarta untuk melakukan sesi pemotretan mengenakan baju adat suku tidung kaltara dan ternyatafotonya kini terpampang dalam uang edisi baru rupiah tepat pada hari kemerdekaan ri ke izzam kecil pasti akan terus mengenang dengan manis wajahnya di abadikan dalam lembaran
360,airasiaindo dear air asia uang saya sudah dikembalikan di akun kredit kemudian ingin membeli tiket baru tapi ketika ingin pembayaran saya salah klik metode pembaran untuk membayarkan kelebihan dana nya sedangkan akun kredit saya sudah menghilang dan s
361,ade ini anak nttnusa tenggara timur yang di dalam uang baru rupiah biang kerok dikit china pictwittercommeqmvpe
366,ngga kok gue baru umur thn udh malu klo minta apa karna gue tau susah nya cari duit gimana alhasil beli apa pake duit sendiri hasil nabung uang jajan 
367,maksudnya saya enggak ngerti kalau dalam uang negara harus mencantumkan semua unsur indonesianya kok baru protes sekarang enggak sekalian protes pahlawan yang ada di uang negara cuma satu enggak segerombolan gitu
368,anjing baru gantu lcd udah pecah lagiemang uang haram
374,saya juga mau trima donasi uang baru
383,bank indonesia bi memberikan jatah lembar uang baru pecahan rupiah untuk provinsi gorontalo 
387,diserbu warga peminat uang baru edisi kemerdekaan harus menunggu bulan depan 
393,liat anak kecil di uang yang baru di bully karena di anggap cina sedih banget deh kenapa sih orang jahat banget orang cinaindo kan orang indo juga sama aja kayak orang arabindo udh tahun ni negara merdeka masih aja ada orang punya mindset begitu
402,berangkat harus bisa mengatur uang beli seperlunya pulang tas baru baju baru bedak baru apa baru semua terlihat menarik saat ditoko tapi kenapa biasa aja kalau udah sampe rumah cewek
406,ada tetangga saya yang enggak suka sama pemerintah trs bilang uang rb yang baru ada baju adat cina lah itu dari kalimantan wawasan rendah tapi udh men judge
407,coba aja klo mau nyuci kantongin uang dlu dicucian trus pas nyetrika baru deh diambil nemu kan wkwk brarti kmu tuh enggak pelupa
408,biasanya dikasih uang pernah mau dikasih mobil tapi direbut sama kakak baru tau pas udah dia miliki nyogok mana hih 
410,baru kelar nntn bagian ini anjirrr enggak berenti ketawaa didukung banget ost nya udh ballad gituu pas bilang suka tiba ost nya berubah anjir pas bilang karena uang wkwkwkwkwk 
411,klo sy lbh milih dikasi uang rb meski cetakan lama drpd dikasi rb baru 
414,gpp g dpt uang baru tp boleh enggak udh tiap bulan dipotong pajak masa harus lapor juga mngkn bs liat di sistem aja gitumakasih
416,ada uang tujuh puluh lima ribu toh kok saya baru tauuu
420,saya baru dengar uang pelangkah itu apaa huaa
422, mesin beberapa kali terdengar ketika harga satu persatu dimasukkan melalui scanner barang yang mereka beli pun tidak terlalu banyak karenanya myra dengan sigap meraih dompet dari dalam tasnya baru saja hendak menawarkan atensinya kini jatuh pada uang ribuan yen yang 
423,cek fakta tidak benar uang baru pecahan rupiah tak bisa dipakai untuk belanja 
426,maaf ya mas ini sw saya tadi siang pertama saya salut sama adeknya masih kecil fotonya dah masuk uang barusan lihat twett mas baru sdar trnyata ini toh yang dikira jga pakaian cina saya cari yang pakaiannya mirip cina mana enggak ada dan memang aslinya enggak ada itu pakaian asli kaltra pictwittercomhmkuogmjj
430,baru gajian uang dah abis lagi apakah di rumah saya banyak tuyulnya
432,uang baru rp ribu bali dapat kuota juta lembar lebih 
433,selamat malam smart orang ada yang sudah dapat uang baru rupiah your it solution partner smart computerindo
435,ke rumah temen pulang sekolah jam sepuluhan hp mati uang habis lagi ada problem terus rimah dia tuh lewatin pohon gede sama bambu lewatin kuburan cm ada toko depan gang lalu sepanjang jalan enggak ada rumah lagi masuk sekitar menit baru ada
436,pas di tagih selalu bilang enggak ada uang trs kemarin baru belanja ke mall apa anjir
438,wish me luck makasi kak cia buat enggak nya semoga bisa menang soalnya dompet saya yang sekarang udah robek tapi gamau beli baru soalnya sayang uang semoga kakak sehat selalu dan rezekinya lancar terus yaa borahaeeee pictwittercomjwujlqmkt
439,akhirnya temen gua marahmarah terus bawabawa nama gua orang sumatera dan uang kita dibalikin dan kita pindah bis gua juga lupa knpa uangnya udh dikasih wktu itu habis itu cus go kita otw purwokerto daaaann itu karena suasana mudik tahun baru jad
440,aminjgn lgsung mati ke enakanstroke dlu beberapa tahunhbisin dulu uangharam yang mereka trima dri bohirbaru koit
443,luncurkan uang baru bi ternyata telah kali keluarkan uang peringatan hut kemerdekaan 
445,bank indonesia bi baru saja menerbitkan uang peringatan kemerdekaan tahun dengan nominal rupiah ribu bagaimana cara mendapatkannya via detikfinance 
449,belajar tanpa mengenal waktu investasikan uang anda untuk ilmu terlebih dahulu baru setelah itu investasikan ilmu yang anda dapat pada hal yang nyata anda sudah pelajari pictwittercomynpaeznf
450,min bankbca ada bisa penukaran uang baru 
457,menerima uang baru pecahan ribu bergambar baju adat cina kafir sebagai gantinya saya bersedia menukarnya dengan lembar uang bergambar pejuang islam ini gimana banding lebih banyak kan minat dm pictwittercomyicklieha
460,udah dapet kode pemesanan penukaran uang rb dari jam sore tadi pas baru barunya buka websitenya terniat pictwittercomjydkmtha
461,istrinya pasti cepat dapat suami baru nah dia nungggu palu gada malaikat kebanyakan uang g jelas
463,cara mudah dapatkan uang baru pecahan yang diedarkan secara terbatas 
464,hadiahnya uang sejuta dri pak lurah en kawannya
471,diinformasikan hari senin tanggal agustus bi rilis uang baru peringatan kemerdekaan hut ri ke untuk penukaran uang baru pecahan bi telah menunjuk bank umum yaitu mandiribni bca bri cimbniaga mulai ditukar tgl okt sihab
472,tolol banget guee baru mau pesen uang rb nya skrg ya mana dapet bodohh
478,uang kertas baru remind me of my childhood dulu semasa bokap masih kerja di peruri sebelum orang punya uang baru beliau sudah punya and showing it to us his daughter sons dirgahayu indonesiaku pictwittercomkmlzjtzcqa
479,cara cepat dapetin uang rb baru buka grup keluarga lalu ketik tante saya mau uang rb an baru klo dpt mau yaa semenit kemudian besok tante coba cari ya klo dapet tante kasih iyasiap biasanya klo tante udh ngmng gt pasti besok dapet pictwittercomfjbyeuwdf
480,uang k baru apa ada potensi di resell
482,uang baru yang keluar senilai ribu pas banget sama harga amer jdi gausah kembalian
485,hahaha nunggu kamu laku dlu de baru di kasih uang jajan sayang dapet doa dari jisu nih scwons
486,ada hal yang lebih urgent buat di bahas data covid di indo masih belom turun dr pucuk heyyy ini malah bahas uang baru ruu ampe kalung anti covid lol
489,ah goblok banget si ada yang bilang baju adat kaltara yang di uang baru dibilang baju adat cina wkwk tolol
495,barong gubernur bali apresiasi dipilihnya kain grinsing bali pada uang kertas baru rp ribu berita dewata 
497,bandarlampung gubernur lampung arinal djunaidi dan wakil gubernur chusnunia beserta pimpinan forkopimda provinsi lampung mengikuti peluncuran uang baru edisi khusus pecahan rupiah secara virtual di balai keratun senin pictwittercomzvwirhx
498,baju adat suku tidung kalimantan utara pada uang baru rp disangka baju adat china baju harian orang tionghoa ini justru diadopsi oleh muslim indonesia karena tuikhim dipakai oleh engkohengkoh maka baju hasil adopsinya disebut baju koko 
506,setelah viral garagara disuruh ngembaliin uang beasiswa dari negara sang aktivis papua akhir kisahnya berujung indah dengan jadi manager baru barcelona cc ekomaung
507,besok per ktp bisa ajuin penukaran uang k di bi di bank lain baru ada oktober aaa ingin ke bi 
508,ih telat tau ada daftar online buat tuker uang baru dah penuh deh 
509,pengen punya uang pecahan yang baru tapi kenapa nukerinnya harus keluar kota padahal sangat ingin karena cangtip sekali uangnya 
518,uang baru rupiah bisa mulai dipesan jam wib apa saja maknanya 
521,seriusan soalnya dari tadi browse di internet soal detail tiap busana daerah di uang baru rb itu nggak nemu
522,secuil sambat di hari kemerdekaan ini gagal preorder tukar uang pecahan baru di bi karena kehabisan kuota gapunya samsek foto pegang bawa bendera merah putih buat story 
527,btw pecahan uang baru rb full colour banget sih jadi keliatan kayak uang mainan mgkin perlu adaptasi 
528,stn enggak buka pendaftran sampai beberapa taun kedepan nder eummm atau enggak kerja dulu aja smk bisa kan ya gatau saya hehe tp menurut saya si kerja dulu tabung uang nya baru kuliah
530,akibat uang baru kini saya memiliki darah china kakek selama ini kamu orang china ya memikul lele awas cuu knp kek awass knpp gatau anjim
532,mau uang baru tp mager banget ya nukernya
